Mass,Intensity
103.111,0.030
115.285,0.007
135.569,0.271
137.588,0.126
145.687,0.014
151.749,0.090
163.875,0.011
171.916,0.426
175.021,0.034
175.922,0.018
190.050,0.431
191.066,0.061
192.076,0.034
207.165,0.007
212.350,0.009
214.372,0.046
228.171,0.396
230.180,0.015
242.484,0.013
258.504,0.073
266.188,0.067
286.536,0.011
288.518,0.039
298.561,0.038
304.512,1.000
305.013,0.052
305.521,0.110
306.006,0.009
316.506,0.014
320.476,0.007
322.360,0.007
326.549,0.266
332.484,0.159
335.247,0.045
337.264,0.007
340.490,0.009
359.063,0.008
378.093,0.002
379.092,0.497
379.651,0.012
399.062,0.009
416.874,0.009
440.721,0.071
442.707,0.023
477.788,0.006
